,Learning rates,Number of leaf nodes,Number of trees,MSE
267,0.01,70.0,38.0,54114.71040200045
268,0.01,70.0,43.0,52031.47781755817
269,0.01,70.0,48.0,52646.152140332815
270,0.01,70.0,54.0,51409.486447741394
271,0.01,70.0,59.0,48731.49054449359
272,0.01,70.0,64.0,51333.16160405624
273,0.01,70.0,69.0,47958.69659685482
274,0.01,70.0,75.0,49987.24691721727
275,0.01,70.0,80.0,53061.49202345142
276,0.01,70.0,85.0,51826.79970379918
277,0.01,70.0,90.0,52334.231304732995
278,0.01,70.0,96.0,48693.6125216563
279,0.01,70.0,101.0,48537.520234231146
280,0.01,75.0,1.0,78321.41470600784
281,0.01,75.0,6.0,56201.53021945262
282,0.01,75.0,12.0,44586.71569603901
283,0.01,75.0,17.0,54061.699729855354
284,0.01,75.0,22.0,53456.02695479268
285,0.01,75.0,27.0,52831.65546614726
286,0.01,75.0,33.0,44104.674834583435
287,0.01,75.0,38.0,47123.48097034083
288,0.01,75.0,43.0,51102.329993796506
289,0.01,75.0,48.0,49622.179442899156
290,0.01,75.0,54.0,51148.2949103716
291,0.01,75.0,59.0,49940.97307555361
292,0.01,75.0,64.0,48034.17426319096
293,0.01,75.0,69.0,43680.97593665348
294,0.01,75.0,75.0,48105.03252033947
295,0.01,75.0,80.0,49552.57999754249
296,0.01,75.0,85.0,49830.3666677391
297,0.01,75.0,90.0,52081.81426476424
298,0.01,75.0,96.0,46944.61622606472
299,0.01,75.0,101.0,49005.03495633065
300,0.01,80.0,1.0,93119.05016589555
301,0.01,80.0,6.0,53864.489796017886
302,0.01,80.0,12.0,46224.250033933844
303,0.01,80.0,17.0,47509.632628582636
304,0.01,80.0,22.0,46987.3453804404
305,0.01,80.0,27.0,41333.91752406961
306,0.01,80.0,33.0,47094.73524382344
307,0.01,80.0,38.0,49096.51320495546
308,0.01,80.0,43.0,48757.52162034215
309,0.01,80.0,48.0,51494.885248886334
310,0.01,80.0,54.0,42360.54757478875
311,0.01,80.0,59.0,47514.19303237735
312,0.01,80.0,64.0,46762.57583751903
313,0.01,80.0,69.0,50110.157733648586
314,0.01,80.0,75.0,49325.81953198099
315,0.01,80.0,80.0,48504.59823188439
316,0.01,80.0,85.0,47289.8173004791
317,0.01,80.0,90.0,48601.2495894316
318,0.01,80.0,96.0,46446.4460256184
319,0.01,80.0,101.0,48433.88689205775
320,0.01,85.0,1.0,129224.16490594062
321,0.01,85.0,6.0,63593.98900906775
322,0.01,85.0,12.0,45748.113015808434
323,0.01,85.0,17.0,49099.9863859842
324,0.01,85.0,22.0,49500.82681301052
325,0.01,85.0,27.0,48101.02644112557
326,0.01,85.0,33.0,45793.988847921646
