,Learning rates,Number of leaf nodes,Number of trees,MSE
247,0.01,65.0,38.0,1061397.1945360503
248,0.01,65.0,43.0,988781.2156858995
249,0.01,65.0,48.0,926634.207509578
250,0.01,65.0,54.0,854478.8372895767
251,0.01,65.0,59.0,798940.4433041802
252,0.01,65.0,64.0,748793.5801705645
253,0.01,65.0,69.0,701683.561775291
254,0.01,65.0,75.0,650773.456368586
255,0.01,65.0,80.0,614452.0340184305
256,0.01,65.0,85.0,578998.3391660781
257,0.01,65.0,90.0,548170.5940106161
258,0.01,65.0,96.0,513034.05882104795
259,0.01,65.0,101.0,488274.1322314821
260,0.01,70.0,1.0,1802026.9073922234
261,0.01,70.0,6.0,1674714.7484374957
262,0.01,70.0,12.0,1538257.0017102733
263,0.01,70.0,17.0,1431641.295552629
264,0.01,70.0,22.0,1332855.9327441212
265,0.01,70.0,27.0,1243787.595757362
266,0.01,70.0,33.0,1139831.7245820917
267,0.01,70.0,38.0,1061397.1945360508
268,0.01,70.0,43.0,988781.2156858997
269,0.01,70.0,48.0,926634.207509578
270,0.01,70.0,54.0,854478.8372895767
271,0.01,70.0,59.0,798940.4433041802
272,0.01,70.0,64.0,748793.5801705641
273,0.01,70.0,69.0,701683.561775291
274,0.01,70.0,75.0,650773.456368586
275,0.01,70.0,80.0,614452.0340184303
276,0.01,70.0,85.0,578998.339166078
277,0.01,70.0,90.0,548170.5940106161
278,0.01,70.0,96.0,513034.058821048
279,0.01,70.0,101.0,488274.1322314823
280,0.01,75.0,1.0,1802026.9073922234
281,0.01,75.0,6.0,1674714.7484374957
282,0.01,75.0,12.0,1538257.0017102733
283,0.01,75.0,17.0,1431641.295552629
284,0.01,75.0,22.0,1332855.9327441212
285,0.01,75.0,27.0,1243787.595757362
286,0.01,75.0,33.0,1139831.7245820917
287,0.01,75.0,38.0,1061397.1945360503
288,0.01,75.0,43.0,988781.2156858997
289,0.01,75.0,48.0,926634.207509578
290,0.01,75.0,54.0,854478.8372895767
291,0.01,75.0,59.0,798940.4433041799
292,0.01,75.0,64.0,748793.5801705642
293,0.01,75.0,69.0,701683.561775291
294,0.01,75.0,75.0,650773.456368586
295,0.01,75.0,80.0,614452.0340184305
296,0.01,75.0,85.0,578998.339166078
297,0.01,75.0,90.0,548170.5940106163
298,0.01,75.0,96.0,513034.05882104806
299,0.01,75.0,101.0,488274.13223148236
300,0.01,80.0,1.0,1802026.9073922234
301,0.01,80.0,6.0,1674714.7484374957
302,0.01,80.0,12.0,1538257.0017102733
303,0.01,80.0,17.0,1431641.295552629
304,0.01,80.0,22.0,1332855.9327441212
305,0.01,80.0,27.0,1243787.595757362
306,0.01,80.0,33.0,1139831.724582092
307,0.01,80.0,38.0,1061397.1945360503
308,0.01,80.0,43.0,988781.2156858997
309,0.01,80.0,48.0,926634.2075095782
310,0.01,80.0,54.0,854478.8372895765
311,0.01,80.0,59.0,798940.4433041799
312,0.01,80.0,64.0,748793.5801705645
313,0.01,80.0,69.0,701683.5617752911
314,0.01,80.0,75.0,650773.456368586
315,0.01,80.0,80.0,614452.0340184303
316,0.01,80.0,85.0,578998.3391660781
317,0.01,80.0,90.0,548170.5940106161
318,0.01,80.0,96.0,513034.05882104795
319,0.01,80.0,101.0,488274.13223148236
320,0.01,85.0,1.0,1802026.9073922234
321,0.01,85.0,6.0,1674714.7484374957
322,0.01,85.0,12.0,1538257.0017102733
323,0.01,85.0,17.0,1431641.295552629
324,0.01,85.0,22.0,1332855.9327441212
325,0.01,85.0,27.0,1243787.595757362
326,0.01,85.0,33.0,1139831.724582092
327,0.01,85.0,38.0,1061397.1945360503
328,0.01,85.0,43.0,988781.2156858997
329,0.01,85.0,48.0,926634.2075095781
330,0.01,85.0,54.0,854478.8372895767
331,0.01,85.0,59.0,798940.4433041802
332,0.01,85.0,64.0,748793.5801705645
333,0.01,85.0,69.0,701683.561775291
334,0.01,85.0,75.0,650773.456368586
335,0.01,85.0,80.0,614452.0340184303
336,0.01,85.0,85.0,578998.3391660781
337,0.01,85.0,90.0,548170.5940106161
338,0.01,85.0,96.0,513034.058821048
339,0.01,85.0,101.0,488274.13223148213
340,0.01,91.0,1.0,1802026.9073922234
341,0.01,91.0,6.0,1674714.7484374957
342,0.01,91.0,12.0,1538257.0017102733
343,0.01,91.0,17.0,1431641.295552629
344,0.01,91.0,22.0,1332855.9327441212
345,0.01,91.0,27.0,1243787.595757362
346,0.01,91.0,33.0,1139831.724582092
347,0.01,91.0,38.0,1061397.1945360503
348,0.01,91.0,43.0,988781.2156858997
349,0.01,91.0,48.0,926634.207509578
350,0.01,91.0,54.0,854478.8372895765
351,0.01,91.0,59.0,798940.4433041799
352,0.01,91.0,64.0,748793.5801705645
353,0.01,91.0,69.0,701683.561775291
354,0.01,91.0,75.0,650773.4563685858
355,0.01,91.0,80.0,614452.0340184303
356,0.01,91.0,85.0,578998.3391660781
357,0.01,91.0,90.0,548170.5940106161
358,0.01,91.0,96.0,513034.058821048
359,0.01,91.0,101.0,488274.13223148213
360,0.01,96.0,1.0,1802026.9073922234
361,0.01,96.0,6.0,1674714.7484374957
362,0.01,96.0,12.0,1538257.0017102733
363,0.01,96.0,17.0,1431641.295552629
364,0.01,96.0,22.0,1332855.9327441212
365,0.01,96.0,27.0,1243787.595757362
366,0.01,96.0,33.0,1139831.7245820917
367,0.01,96.0,38.0,1061397.1945360503
368,0.01,96.0,43.0,988781.2156858997
369,0.01,96.0,48.0,926634.207509578
370,0.01,96.0,54.0,854478.8372895765
371,0.01,96.0,59.0,798940.4433041799
372,0.01,96.0,64.0,748793.5801705645
373,0.01,96.0,69.0,701683.5617752911
374,0.01,96.0,75.0,650773.456368586
375,0.01,96.0,80.0,614452.0340184303
376,0.01,96.0,85.0,578998.339166078
377,0.01,96.0,90.0,548170.5940106161
378,0.01,96.0,96.0,513034.058821048
379,0.01,96.0,101.0,488274.13223148236
380,0.01,101.0,1.0,1802026.9073922234
381,0.01,101.0,6.0,1674714.7484374957
382,0.01,101.0,12.0,1538257.0017102733
383,0.01,101.0,17.0,1431641.295552629
384,0.01,101.0,22.0,1332855.9327441212
385,0.01,101.0,27.0,1243787.595757362
386,0.01,101.0,33.0,1139831.724582092
387,0.01,101.0,38.0,1061397.1945360508
388,0.01,101.0,43.0,988781.2156858997
389,0.01,101.0,48.0,926634.2075095782
390,0.01,101.0,54.0,854478.8372895765
391,0.01,101.0,59.0,798940.4433041802
392,0.01,101.0,64.0,748793.5801705645
393,0.01,101.0,69.0,701683.5617752911
394,0.01,101.0,75.0,650773.4563685858
395,0.01,101.0,80.0,614452.0340184303
396,0.01,101.0,85.0,578998.3391660779
397,0.01,101.0,90.0,548170.5940106162
398,0.01,101.0,96.0,513034.058821048
399,0.01,101.0,101.0,488274.13223148213
400,0.06736842105263158,2.0,1.0,1734965.0130489364
401,0.06736842105263158,2.0,6.0,1404645.3151991195
402,0.06736842105263158,2.0,12.0,1190788.9266479302
403,0.06736842105263158,2.0,17.0,1059939.8812033217
404,0.06736842105263158,2.0,22.0,924433.2326579337
405,0.06736842105263158,2.0,27.0,830527.3763284163
406,0.06736842105263158,2.0,33.0,733091.6432095579
407,0.06736842105263158,2.0,38.0,666611.9013943708
408,0.06736842105263158,2.0,43.0,628653.2343116739
409,0.06736842105263158,2.0,48.0,588663.6930080459
410,0.06736842105263158,2.0,54.0,547930.6027669344
411,0.06736842105263158,2.0,59.0,511578.05033437227
412,0.06736842105263158,2.0,64.0,482907.3426013964
413,0.06736842105263158,2.0,69.0,446935.4414675005
